Código de la clase de actividad SCIAN|id_directorio|Nombre de clase de la actividad
112511|2|Camaronicultura
112512|2|Piscicultura y otra acuicultura, excepto camaronicultura
114111|2|Pesca de camarón
114112|2|Pesca de túnidos
114113|2|Pesca de sardina y anchoveta
114119|2|Pesca y captura de peces, crustáceos, moluscos y otras especies
115111|2|Servicios de fumigación agrícola
115112|2|Despepite de algodón
115113|2|Beneficio de productos agrícolas
115119|2|Otros servicios relacionados con la agricultura
115210|2|Servicios relacionados con la cría y explotación de animales
115310|2|Servicios relacionados con el aprovechamiento forestal
