id_direccion|id_ue|Tipo de asentamiento humano|Nombre de asentamiento humano|Código Postal|Número exterior o kilómetro|Letra exterior|Manzana|Área geoestadística básica |Clave entidad|Clave municipio|Clave localidad
3582|963|SIN ESPECIFICAR|LOCALIDAD VIVERO PSIFACTORIA|0|0|KILÓMETRO 41|800|78|1|7|239
3583|75766|COLONIA|RINCÓNDE BALTAZARES|20803|0|SN|28|168|1|3|1
3584|79906|SIN ESPECIFICAR|SIN ESPECIFICAR|20800|SIN ESPECIFICAR|SIN ESPECIFICAR|40|204|1|3|1
3585|86922|SIN ESPECIFICAR|ARROYO OJOCALIENTILLO|20000|102|SIN ESPECIFICAR|1|100|1|3|56
3586|98230|SIN ESPECIFICAR|SANTA ROSA GRANJA ACUICOLA|20000|0|SN|800|69|1|10|272
3587|98259|COLONIA|Bajío De Yerbaniz|20424|0|SN|800|25|1|7|47
3588|98495|SIN ESPECIFICAR|LOCALIDAD LOS ADOBES|20000|0|SN|34|3806|1|1|1
3589|98835|COLONIA|CENTRO|20000|102|SIN ESPECIFICAR|12|187|1|3|1
3590|100528|SIN ESPECIFICAR|PRESA MAL PASO|20000|0|SN|7|64|1|3|43
3591|123184|COLONIA|DEL VALLE PRIMERA SECCIÓN|20000|106|SIN ESPECIFICAR|17|680|1|1|1
3592|128060|SIN ESPECIFICAR|LA PUNTA COSÍO|20000|0|SN|800|42|1|4|56
3593|137275|COLONIA|Río San Pedro|20686|501|SIN ESPECIFICAR|800|13|1|6|292
3594|140389|RANCHERÍA|LOCALIDAD LUMBRERAS CIENEGUILLA|20000|409|SIN ESPECIFICAR|800|1180|1|1|139
3595|149660|SIN ESPECIFICAR|FRESNILLO|0|122|SIN ESPECIFICAR|12|44|1|7|20
3596|158194|SIN ESPECIFICAR|SAN JOSÉ DE GRACIA|0|0|SN|1|215|1|8|1
3597|159088|SIN ESPECIFICAR|PRESA MALPASO|20000|0|SN|5|64|1|3|43
3598|159093|RANCHERÍA|LOCALIDAD IGNACIO ZARAGOZA|0|157|SIN ESPECIFICAR|28|73|1|5|33
3599|169755|SIN ESPECIFICAR|PRESA JOCOQUI|0|0|SN|7|78|1|7|28
3600|172861|SIN ESPECIFICAR|EL SAUZAL DE RODRÍGUEZ|22760|235|SIN ESPECIFICAR|19|7466|2|1|247
3601|178415|SIN ESPECIFICAR|EL SAUZAL DE RODRÍGUEZ|22790|249|SIN ESPECIFICAR|10|308|2|1|247
3602|192442|COLONIA|RECINTO PORTUARIO|22800|187|SIN ESPECIFICAR|19|632|2|1|1
3603|200107|SIN ESPECIFICAR|MOSQUEDA|0|0|KILÓMETRO 53+500|800|3649|2|2|411
3604|224791|OTRO (ESPECIFICAR)|ZONA CENTRO|22800|649|SIN ESPECIFICAR|17|717|2|1|1
3605|230521|COLONIA|CARRANZA|0|15|SIN ESPECIFICAR|1|2585|2|2|110
3606|231216|EJIDO|SOMBRERETE 2|0|0|LOTE 89|800|3672|2|2|243
3607|235330|RANCHO|COLONIA CARRANZA|21739|0|A|800|3653|2|2|106
3608|235333|EJIDO|NUEVO BAJA CALIFORNIA|22930|407|SIN ESPECIFICAR|4|7273|2|1|133
3609|235345|COLONIA|VENUSTIANO CARRANZA|21739|168|SN|800|3653|2|2|1581
3610|240271|SIN ESPECIFICAR|EL SAUZAL DE RODRÍGUEZ|22760|160|SIN ESPECIFICAR|2|7466|2|1|247
