id_direccion|Edificio|Edificio Piso|Número interior|Letra interior
3582|SIN ESPECIFICAR|SIN ESPECIFICAR|0|SIN ESPECIFICAR
3584|0|SIN ESPECIFICAR|102|SIN ESPECIFICAR
3585|SIN ESPECIFICAR|SIN ESPECIFICAR|0|SIN ESPECIFICAR
3586|SIN ESPECIFICAR|SIN ESPECIFICAR|0|SIN ESPECIFICAR
3588|SIN ESPECIFICAR|SIN ESPECIFICAR|0|SIN ESPECIFICAR
3589|SIN ESPECIFICAR|SIN ESPECIFICAR|0|SIN ESPECIFICAR
3590|SIN ESPECIFICAR|SIN ESPECIFICAR|0|SIN ESPECIFICAR
3591|SIN ESPECIFICAR|SIN ESPECIFICAR|0|SIN ESPECIFICAR
3592|SIN ESPECIFICAR|SIN ESPECIFICAR|0|SIN ESPECIFICAR
3594|SIN ESPECIFICAR|SIN ESPECIFICAR|0|SIN ESPECIFICAR
3595|SIN ESPECIFICAR|SIN ESPECIFICAR|0|SIN ESPECIFICAR
3596|SIN ESPECIFICAR|SIN ESPECIFICAR|0|SIN ESPECIFICAR
3597|SIN ESPECIFICAR|SIN ESPECIFICAR|0|SIN ESPECIFICAR
3598|SIN ESPECIFICAR|SIN ESPECIFICAR|0|SIN ESPECIFICAR
3599|SIN ESPECIFICAR|SIN ESPECIFICAR|0|SIN ESPECIFICAR
3600|SIN ESPECIFICAR|SIN ESPECIFICAR|0|SIN ESPECIFICAR
3601|SIN ESPECIFICAR|2DO PISO|1|SIN ESPECIFICAR
3602|SIN ESPECIFICAR|SIN ESPECIFICAR|0|B
3603|SIN ESPECIFICAR|SIN ESPECIFICAR|0|SIN ESPECIFICAR
3604|SIN ESPECIFICAR|SIN ESPECIFICAR|15|SIN ESPECIFICAR
3606|SIN ESPECIFICAR|SIN ESPECIFICAR|0|SIN ESPECIFICAR
3607|SIN ESPECIFICAR|SIN ESPECIFICAR|0|SIN ESPECIFICAR
3608|SIN ESPECIFICAR|SIN ESPECIFICAR|0|SIN ESPECIFICAR
3609|SIN ESPECIFICAR|SIN ESPECIFICAR|0|SIN ESPECIFICAR
3610|SIN ESPECIFICAR|SIN ESPECIFICAR|3|SIN ESPECIFICAR
3612|SIN ESPECIFICAR|SIN ESPECIFICAR|0|SIN ESPECIFICAR
3613|SIN ESPECIFICAR|SIN ESPECIFICAR|0|SIN ESPECIFICAR
3614|SIN ESPECIFICAR|SIN ESPECIFICAR|0|SIN ESPECIFICAR
3615|SIN ESPECIFICAR|SIN ESPECIFICAR|3|SIN ESPECIFICAR
3616|SIN ESPECIFICAR|SIN ESPECIFICAR|14|C
3618|SIN ESPECIFICAR|SIN ESPECIFICAR|0|SIN ESPECIFICAR
3619|4|SIN ESPECIFICAR|407|SIN ESPECIFICAR
3620|SIN ESPECIFICAR|SIN ESPECIFICAR|0|SIN ESPECIFICAR
3622|SIN ESPECIFICAR|SIN ESPECIFICAR|0|B
3623|SIN ESPECIFICAR|SIN ESPECIFICAR|0|SIN ESPECIFICAR
3624|SIN ESPECIFICAR|SIN ESPECIFICAR|0|SIN ESPECIFICAR
3625|SIN ESPECIFICAR|SIN ESPECIFICAR|0|SIN ESPECIFICAR
3626|SIN ESPECIFICAR|SIN ESPECIFICAR|2|SIN ESPECIFICAR
3627|SIN ESPECIFICAR|SIN ESPECIFICAR|0|SIN ESPECIFICAR
3628|SIN ESPECIFICAR|SIN ESPECIFICAR|0|SIN ESPECIFICAR
3629|SIN ESPECIFICAR|SIN ESPECIFICAR|0|SIN ESPECIFICAR
3630|SIN ESPECIFICAR|SIN ESPECIFICAR|0|SIN ESPECIFICAR
3632|SIN ESPECIFICAR|SIN ESPECIFICAR|0|SIN ESPECIFICAR
3633|SIN ESPECIFICAR|SIN ESPECIFICAR|0|SIN ESPECIFICAR
3634|SIN ESPECIFICAR|SIN ESPECIFICAR|0|SIN ESPECIFICAR
3635|SIN ESPECIFICAR|SIN ESPECIFICAR|0|SIN ESPECIFICAR
3636|SIN ESPECIFICAR|SIN ESPECIFICAR|0|SIN ESPECIFICAR
