id_direccion|Tipo centro comercial|Corredor industrial, centro comercial o mercado público|Número de local
3600|PARQUE INDUSTRIAL|FONDEPORT|235
3604|Sin Especificar|PLAZA DELFINES|SN
3610|PARQUE INDUSTRIAL|FONDEPORT|160-3
3616|CENTRO O PLAZA COMERCIAL|PLAZA BAJA|C14
3618|PARQUE INDUSTRIAL|FONDEPORT|SN
3619|Sin Especificar|PLAZA E|407
3626|PARQUE INDUSTRIAL|FONDEPORT|160-2
3628|PARQUE INDUSTRIAL|FONDEPORT|SN
3645|PARQUE INDUSTRIAL|FONDEPORT|SN
3670|PARQUE INDUSTRIAL|FONDEPORT|160-1
3812|CENTRO O PLAZA COMERCIAL|PROSAN|203
3814|CENTRO O PLAZA COMERCIAL|SIN NOMBRE|5
3828|PLAZUELA COMERCIAL|SIN NOMBRE|SN
3840|CENTRO O PLAZA COMERCIAL|PLAZA MAUINA|203
3897|Sin Especificar|Sin Especificar|SN
3937|Sin Especificar|Sin Especificar|SN
3939|PASAJE Y ANDADOR COMERCIAL|SIN NOMBRE|91 PONIENTE
4330|Sin Especificar|Sin Especificar|SN
4409|Sin Especificar|Sin Especificar|SN
4520|Sin Especificar|Sin Especificar|SN
4525|Sin Especificar|Sin Especificar|SN
4592|CIUDAD INDUSTRIAL|SIN NOMBRE|SN
4830|Sin Especificar|VILLAMADERO CHAMPOTON CAMPECHE|SN
5082|Sin Especificar|SAN ANTONIO CARDENAS|SN
5551|Sin Especificar|Sin Especificar|1234
5561|Sin Especificar|Sin Especificar|SN
5601|EDIFICIO COMERCIAL Y DE SERVICIOS|PLAZA ROSITAS|C
5760|MERCADO PÚBLICO|MERCADO DE PESCADORES|LOCAL 1
5775|TIANGUIS, BAZAR O PULGA|SIN NOMBRE|SN
5840|PARQUE INDUSTRIAL|MUELLE PESQUERO E INDUSTRIA HERDEZ|SN
6255|MERCADO PÚBLICO|SIN NOMBRE|SN
6256|Sin Especificar|SECUNDARIA TECNICA NUMERO 50|50
6388|ESCUELA|PRIMARIA SIMON BOLIVA|SN
6472|Sin Especificar|Sin Especificar|SN
6513|CENTRAL DE ABASTO|CENTRAL DE ABASTOS DE LA CIUDAD DE MÉXICO|91
6514|CENTRAL DE ABASTO|CENTRAL DE ABASTOS DE LA CIUDAD DE MÉXICO|I-91
6515|CENTRAL DE ABASTO|CENTRAL DE ABASTOS DE LA CIUDAD DE MÉXICO|I-55
6519|CENTRAL DE ABASTO|CENTRAL DE ABASTOS DE LA CIUDAD DE MÉXICO|34
6543|Sin Especificar|Sin Especificar|SN
6547|Sin Especificar|EL TUNAL Y ANEXO EL DURAZNO|SN
6625|CENTRAL DE ABASTO|CIUDAD INDUSTRIAL|47 Y 48 E
6648|PASAJE Y ANDADOR COMERCIAL|SIN NOMBRE|SN
6711|Sin Especificar|VARADERO DE SANTA ROSA|SN
6759|Sin Especificar|LAGUNA|SN
6955|Sin Especificar|Sin Especificar|SN
7248|Sin Especificar|Sin Especificar|SN
7496|Sin Especificar|Sin Especificar|SN
7500|Sin Especificar|Sin Especificar|SN
7503|Sin Especificar|Sin Especificar|SN
7504|Sin Especificar|Sin Especificar|SN
7647|MERCADO PÚBLICO|HACIENDA DE CABAÑAS|SN
7753|Sin Especificar|EJIDO DE TRES PALOS|SN
7768|Sin Especificar|LAGUNA DE TRES PALOS|SN
7876|Sin Especificar|VARADERO DE TRES PALOS|SN
7908|Sin Especificar|EDIDO DE TRES PALOS|SN
7937|Sin Especificar|VARADERO PLAN DE LOS AMATES|SN
7973|Sin Especificar|LAGUNA DE TRES PALOS|SN
8218|CENTRAL DE ABASTO|MERCADO DE ABASTOS|2214
8748|PASAJE Y ANDADOR COMERCIAL|EL VITRAL PLAZA COMERCIAL|3
10159|CENTRAL DE ABASTO|SIN NOMBRE|                    
11045|Sin Especificar|Sin Especificar|SN                  
11112|PARQUE INDUSTRIAL|EL DURAZNO|107
11118|CENTRAL DE ABASTO|MERCADO DE ABASTOS PONIENTE|106
12274|Sin Especificar|PEREZ FIGUEROA TUXTEPEC OAX|SN
13903|ZONA INDUSTRIAL|PESQUERA GUADALUPE|SN
14783|PLAZUELA COMERCIAL|PLAZA PALERMO|4744 A
14812|CENTRO O PLAZA COMERCIAL|PLAZA C|1
14885|PARQUE INDUSTRIAL|SIN NOMBRE|SN
15014|Sin Especificar|PLAZA GRECIA|SN
15020|CENTRO O PLAZA COMERCIAL|SIN NOMBRE|6
16317|ZONA INDUSTRIAL|SIN NOMBRE|SN
16471|CENTRO O PLAZA COMERCIAL|PLAZA D|17
16483|PARQUE INDUSTRIAL|SIN NOMBRE|SN
16489|PARQUE INDUSTRIAL|ALFREDO V BONFIL|18
16994|Sin Especificar|OFICIANAS|SN
17045|CENTRO O PLAZA COMERCIAL|LAS PALMAS|20
17054|CENTRO O PLAZA COMERCIAL|PLAZA E|3B
17084|Sin Especificar|PLAZA EL DORADO|SN
17103|ZONA INDUSTRIAL|NUMERO 2|SN
17156|PARQUE INDUSTRIAL|FONDEPORT|SN
17175|Sin Especificar|PLAZA AURORA|SN
17185|CORREDOR INDUSTRIAL|SIN NOMBRE|SN
17443|OTROS CONJUNTOS COMERCIALES|PLAZA GUAYMAS|L17
17625|AEROPUERTOS|Sin Especificar|SN
17778|PARQUE INDUSTRIAL|SIN NOMBRE|4C
19676|HOTEL|SIN NOMBRE|SN
19755|CENTRAL DE ABASTO|SIN NOMBRE|SN
20099|Sin Especificar|POBLADO MANO DE LEON|KM 52
20106|Sin Especificar|EL CHAMIZAL|SN
20119|Sin Especificar|GRANJA LAGUNA DE ALMAGRE|SN
20164|Sin Especificar|POBLADO CAPILLA|SN
20165|Sin Especificar|Sin Especificar|SN
20166|Sin Especificar|LA MISION|SN
20168|Sin Especificar|JULIAN BONOLA VELAZQUEZ|SN
20176|Sin Especificar|Sin Especificar|SN
20179|Sin Especificar|ISLA FANTASIA|SN
20180|Sin Especificar|FANTASIA SUR|SN
20181|Sin Especificar|Sin Especificar|SN
20182|Sin Especificar|ISLA DE LA FANTASIA|SN
20183|Sin Especificar|ISLA DE LA FANTASIA|SN
20184|Sin Especificar|LA BARTOLINA|SN
20185|Sin Especificar|LA BARTOLINA|SN
20187|Sin Especificar|Sin Especificar|SN
20203|Sin Especificar|Sin Especificar|SN
20210|Sin Especificar|Sin Especificar|SN
20211|Sin Especificar|NOE SERGIO GARCIA GARCIA|SN
20288|Sin Especificar|PUNTA DE PIEDRA|SN
20289|Sin Especificar|PUNTA DE PIEDRA|SN
20331|Sin Especificar|LA BARTOLINA|SN
20362|Sin Especificar|Sin Especificar|SN
20376|Sin Especificar|Sin Especificar|SN
20377|ZONA INDUSTRIAL|PLAYA BAGDA|SN
20378|Sin Especificar|Sin Especificar|SN
