Clave municipio|Municipio
1|AGUASCALIENTES
2|ENSENADA
3|COMONDÚ
4|CALKINÍ
5|ARMERÍA
6|ACAPULCO DE JUÁREZ
7|ACATLÁN
8|ACATIC
9|ACAMBAY DE RUÍZ CASTAÑEDA
10|ACUITZIO
11|ACAPONETA
12|AMEALCO DE BONFIL
13|COZUMEL
14|AHOME
15|BALANCÁN
16|ABASOLO
17|AMAXAC DE GUERRERO
18|APOZOL
19|MEXICALI
20|MULEGÉ
21|CAMPECHE
22|ACUÑA
23|COLIMA
24|ACALA
25|ALDAMA
26|CANELAS
27|ACÁMBARO
28|ACAXOCHITLÁN
29|ACATLÁN DE JUÁREZ
30|AGUILILLA
31|AHUACATLÁN
32|ACATLÁN DE PÉREZ FIGUEROA
33|FELIPE CARRILLO PUERTO
34|ANGOSTURA
35|CÁRDENAS
36|APETATITLÁN DE ANTONIO CARVAJAL
37|APULCO
38|CALVILLO
39|LA PAZ
40|CARMEN
41|COMALA
42|ACAPETAHUA
43|COYOACÁN
44|SAN MIGUEL DE ALLENDE
45|AJUCHITLÁN DEL PROGRESO
46|ACTOPAN
47|ACULCO
48|ÁLVARO OBREGÓN
49|AXOCHIAPAN
50|ACATLÁN
51|ISLA MUJERES
52|AQUISMÓN
53|BADIRAGUATO
54|ALAMOS
55|CENTLA
56|ALTAMIRA
57|ATLANGATEPEC
58|ACAYUCAN
59|AKIL
60|COSÍO
61|TIJUANA
62|CHAMPOTÓN
63|COQUIMATLÁN
64|AGUA BLANCA DE ITURBIDE
65|ANGAMACUTIRO
66|AYALA
67|COMPOSTELA
68|ALLENDE
69|ACATZINGO
70|CADEREYTA DE MONTES
71|OTHÓN P. BLANCO
72|CENTRO
73|ATLTZAYANCA
74|ACTOPAN
75|JESÚS MARÍA
76|PLAYAS DE ROSARITO
77|CUAUHTÉMOC
78|ASCENSIÓN
79|DURANGO
80|AMATITÁN
81|ALMOLOYA DE JUÁREZ
82|ANGANGUEO
83|COATLÁN DEL RÍO
84|HUAJICORI
85|ANÁHUAC
86|COLÓN
87|BENITO JUÁREZ
88|COSALÁ
89|COMALCALCO
90|APIZACO
91|ACULA
92|CALERA
93|PABELLÓN DE ARTEAGA
94|HOPELCHÉN
95|IXTLAHUACÁN
96|IZTACALCO
97|APAXTLA
98|ALFAJAYUCAN
99|AMECA
100|APATZINGÁN
101|CUAUTLA
102|IXTLÁN DEL RÍO
103|APODACA
104|JOSÉ MARÍA MORELOS
105|CULIACÁN
106|CUNDUACÁN
107|CALPULALPAN
108|ACULTZINGO
109|BUCTZOTZ
110|RINCÓN DE ROMOS
