id_direccion|Tipo de vialidad|Nombre de la vialidad|Tipo de entre vialidad 1|Nombre de entre vialidad 1|Tipo de entre vialidad 2|Nombre de entre vialidad 2|Tipo de entre vialidad 3|Nombre de entre vialidad 3
3582|TERRACERÍA|NINGUNO|CALLE|NINGUNO|CALLE|NINGUNO|CALLE|NINGUNO
3583|BOULEVARD|RODOLFO LANDEROS GALLEGOS|PRIVADA|NINGUNO|PRIVADA|NINGUNO|CAMINO|NINGUNO
3584|AVENIDA|Libramiento Calvillo-Jalpa|CALLE|Guadalupe Bautista|CALLE|Ignacio de la Llave|Sin Especificar|Sin Especificar
3585|CALLE|JUÁREZ|CALLE|NINGUNO|CALLE|NINGUNO|CALLE|NINGUNO
3586|CALLE|NINGUNO|CALLE|NINGUNO|CALLE|NINGUNO|CALLE|NINGUNO
3587|CAMINO|LOS ALAMITOS-YERBANIZ MARGEN IZQUIERDO|OTRA (ESPECIFICAR)|Ninguno|OTRA (ESPECIFICAR)|Ninguno|OTRA (ESPECIFICAR)|Ninguno
3588|Sin Especificar|NINGUNO|CALLE|NINGUNO|CALLE|NINGUNO|CALLE|NINGUNO
3589|CALLE|BENITO JUÁREZ|CALLE|NINGUNO|CALLE|NINGUNO|CALLE|NINGUNO
3590|CALLE|NINGUNO|CALLE|NINGUNO|CALLE|NINGUNO|CALLE|NINGUNO
3591|CALLE|NÁPOLES|AVENIDA|DE LA CONVENCIÓN DE 1914|CALLE|26 DE MARZO|CALLE|VERSALLES
3592|CALLE|NINGUNO|CALLE|NINGUNO|CALLE|NINGUNO|CALLE|NINGUNO
3593|CARRETERA|ESTATAL LIBRE 19 PABELLÓN DE ARTEAGA-LUIS MOYA KILÓMETRO 0 +500|OTRA (ESPECIFICAR)|NINGUNO|OTRA (ESPECIFICAR)|Ninguno|OTRA (ESPECIFICAR)|NINGUNO
3594|CALLE|INDEPENDENCIA|CALLE|NINGUNO|CALLE|NINGUNO|CALLE|NINGUNO
3595|CALLE|BENITO JUÁREZ|CALLE|NINGUNO|CALLE|NINGUNO|CALLE|NINGUNO
3596|CALLE|GENERAL VICENTE GUERRERO|CALLE|GENERAL VICENTE GUERRERO|CALLE|RICARDO FLORES MAGÓN|Sin Especificar|Sin Especificar
3597|CALLE|NINGUNO|CALLE|NINGUNO|CALLE|NINGUNO|CALLE|NINGUO
3598|CALLE|PLAZA GÁMEZ OROZCO|CALLE|NINGUNO|CALLE|NINGUNO|CALLE|NINGUNO
3599|Sin Especificar|EL JOCOQUI|CALLE|NINGUNO|CALLE|NINGUNO|CALLE|NINGUNO
3600|CALLE|DIEZ|CALLE|SIETE|CALLE|NINGUNO|CALLEJÓN|ENTRADA AL INSTITUTO
3601|CALLE|PRIMERA|AVENIDA|20 DE NOVIEMBRE O AVENIDA E|AVENIDA|JOSÉ MARÍA MORELOS O AVENIDA D|CALLE|SEGUNDA
3602|CALLE|TENIENTE AZUETA|ANDADOR|NINGUNO|Sin Especificar|NINGUNO|Sin Especificar|Sin Especificar
3603|CARRETERA|MEXICALI - SAN FELIPE|TERRACERÍA|NINGUNO|TERRACERÍA|NINGUNO|TERRACERÍA|NINGUNO
3604|CALLE|Virgilio Uribe|AVENIDA|Gastelum|AVENIDA|Miramar|Sin Especificar|Sin Especificar
3605|AVENIDA|López Mateos|CALLE|Francisco I. Madero|CALLE|Independencia|Sin Especificar|Sin Especificar
3606|CARRETERA|AL INDIVISO|CALLE|NINGUNO|CALLE|NINGUNO|CALLE|NINGUN0
3607|TERRACERÍA|CANAL INDEPENDENCIA|CALLE|NINGUNO|CALLE|NINGUNO|AVENIDA|NINGUNO
3608|CALLE|BRAULIO MALDONADO|CALLE|GENERAL JOSÉ MARÍA MORELOS|AVENIDA|MIGUEL HIDALGO|CALLE|NINGUNO
3609|TERRACERÍA|LOTE AGRÍCOLA|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar
3610|CALLE|SEIS|CALLE|DOCE|CALLE|CINCO|CALLE|SIETE
3611|AVENIDA|TORONTO NORTE|Sin Especificar|NINGUNO|CALLE|NINGUNO|Sin Especificar|NINGUNO
3612|AVENIDA|ALVARADO|CALLE|SEXTA|CALLE|SEPTIMA|AVENIDA|BLANCARTE
3613|CARRETERA|CARRETERA LIBRE TIJUANA - ENSENADA|Sin Especificar|NINGUNO|CALLEJÓN|ENTRADA PRINCIPAL AL PUERTO|CARRETERA|LIBRE TIJUANA ENSENADA KILÓMETRO 33.5
3614|CALLE|PEDRO LOYOLA|CALLE|NEREIDAS|CALLE|CARACOLES|Sin Especificar|Sin Especificar
3615|AVENIDA|ITURBIDE|AVENIDA|BENITO JUÁREZ (QUINTA)|CALLE|CUARTA (MUTUALISMO)|Sin Especificar|Sin Especificar
3616|CALZADA|INDEPENDENCIA|AVENIDA|DESIERTO DE ALTAR|CALLE|CALAFIA|CALLE|NINGUNO
3617|BOULEVARD|BENITO JUÁREZ|AVENIDA|MOLINO DEL REY|CALZADA|INDEPENDENCIA|AVENIDA|LIDIA
3618|CALLE|DIEZ|CALLE|CUATRO|Sin Especificar|ORILLA DEL MAR|CALLE|OCHO
3619|BOULEVARD|GENERAL RODOLFO SÁNCHEZ TABOADA|CALLE|ERASMO CASTELLANO|CALLE|ANTONIO CASO|BOULEVARD|PASEO DE LOS HÉROES
3620|PROLONGACIÓN|RÍO GRIJALVA|AVENIDA|MÉXICO|CALLE|PASEO DE SERVICIO|CALLE|ESMERALDA
3621|CALLE|NINGUNO|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|NINGUNO
3622|CALLE|TENIENTE AZUETA|ANDADOR|NINGUNO|ANDADOR|NINGUNO|Sin Especificar|Sin Especificar
3623|CALLE|ZAPOPAN|CALLE|GUADALAJARA|CALLE|DELANTE|CALLE|CHAPALA
3624|CAMINO|NINGUNO|CALLE|NINGUNO|CALLE|NINGUNO|CALLE|NINGUNO
3625|CALLE|NINGUNO|Sin Especificar|NINGUNO|Sin Especificar|NINGUNO|Sin Especificar|NINGUNO
3626|CALLE|SEIS|CALLE|DOCE|CALLE|CINCO|CALLE|SIETE
3627|CALLE|CARACOLES|BOULEVARD|LAS DUNAS|CALLE|ARENAS|Sin Especificar|Sin Especificar
3628|CALLE|SEIS|CALLE|DOCE|CALLE|CINCO|CALLE|SIETE
3629|CALLE|CALLE|CALLE|PRINCIPAL|CALLE|NINGUNO|CALLE|NINGUNO
3630|CAMINO|A LA BAHIA FALSA|CAMINO|A LA BAHÍA|CAMINO|A LA BAHÍA|CAMINO|A LA BAHÍA
3631|CALLE|T. CALDERÓN ARCEGA|AVENIDA|CARRETERA TRANSPENINSULAR|CALLE|NINGUNO|CALLE|NINGUNO
3632|CALLEJÓN|NINGUNO|CALLE|NINGUNO|CALLE|NINGUNO|CALLE|NINGUNO
3633|CARRETERA|LA BUFADORA|CALLE|NINGUNO|CALLE|NINGUNO|CALLE|NINGUNO
3634|CALLE|CIRSE|CALLE|CIRSE 2|CALLE|NINGUNO|CALLE|NINGUNO
3635|TERRACERÍA|NINGUNO|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar
3636|CARRETERA|AL INDIVISO|TERRACERÍA|NINGUNO|TERRACERÍA|NINGUNO|TERRACERÍA|NINGUNO
3637|CALLE|NINGUNO|CALLE|NINGUNO|CALLE|NINGUNO|Sin Especificar|Sin Especificar
3638|CALLE|CARACOLES|BOULEVARD|LAS DUNAS|CALLE|ARENAS|Sin Especificar|Sin Especificar
3639|CALLE|SEGUNDA Y/O JUAN RODRÍGUEZ CARRILLO|AVENIDA|RIVEROLL|AVENIDA|ALVARADO|AVENIDA|LÓPEZ MATEOS (PRIMERA)
3640|CALLE|SAN FELIPE|CALLE|GUAYMAS|BOULEVARD|ESTANCIA|Sin Especificar|Sin Especificar
3641|CALLE|TENIENTE AZUETA|CALLE|NINGUNO|CALLE|VIRGILIO URIBE|CALLE|PASEO MIGUEL HIDALGO Y COSTILLA
3642|CALLE|10|AVENIDA|ÁLVARO OBREGÓN|AVENIDA|MOCTEZUMA|CALLE|ONCE
3643|AVENIDA|JOSÉ MARÍA MORELOS Y PAVÓN|CALLE|INDEPENDENCIA|CALLE|MORELOS|CALLE|OBREGON
3644|CALLE|JÓNICO|AVENIDA|TOPOLOBAMPO|AVENIDA|ENSENADA|CALLE|MAR MEDITERRANEO SUR
3645|CALLE|UNO|CALLE|OCHO|CALLE|NUEVE|CARRETERA|CARRETERA TIJUANA-ENSENADA.
3646|AVENIDA|CERRO DEL PEDREGOSO|CALLE|JOSÉ CECEÑA|BOULEVARD|INGENIERO EMILIO BOLAÑOS CACHO|AVENIDA|SIERRA DE JÚAREZ
3647|CALLE|RUMOROSA|CALLE|RUMOROSA|CALLE|RUMOROSA|CALLE|SAN TELMO
3648|CALLE|SIN REFERENCIA|OTRA (ESPECIFICAR)|SIN REFERENCIA|OTRA (ESPECIFICAR)|SIN REFERENCIA|CARRETERA|TRANSPENINSULAR
3649|CALLE|T. CALDERÓN ARCEGA|CALLE|NINGUNO|CALLE|ENRIQUE CÓRDOVA MONTOYA|CALLE|NINGUNO
3650|CALLE|SAN FELIPE|AVENIDA|LAS PALMAS|BOULEVARD|PUNTA|Sin Especificar|Sin Especificar
3651|AVENIDA|PUERTO DE MAZATLAN|RETORNO|PUERTO DE VERACRUZ|PROLONGACIÓN|PUERTO DE VERACRUZ|PRIVADA|ENSENADA
3652|CALLE|GUAYMAS|CALLE|GOLFO DE MÉXICO|CALLE|MAR DE CORTEZ|BRECHA|NINGUNO
3653|CALLE|NINGUNO|Sin Especificar|NINGUNO|CALLE|NINGUNO|CAMINO|NINGUNO
3654|TERRACERÍA|EL BOJON|CALLE|PIRACANTE|CALLE|ZAPOTE|CALLE|NINGUNO
3655|CAMINO|A LA CHORERA|CAMINO|A LA CHORERA|CAMINO|A LA CHORERA|CAMINO|A LA CHORERA
3656|CALLE|GUADALUPE VICTORIA|AVENIDA|GALAXIA (CALAFIA)|CALLE|NINGUNO|CALLE|PRIMERA (MARIANO ABASOLO)
3657|CALLE|CANON DE LA PEDRERA|CALLE|FLAMINGOS|CALLE|FLAMINGOS|BOULEVARD|CUAUHTÉMOC SUR PONIENTE
3658|CALLE|TENIENTE AZUETA|ANDADOR|NINGUNO|Sin Especificar|NINGUNO|Sin Especificar|Sin Especificar
3659|CALLE|NINGUNO|CALLE|NINGUNO|CALLE|NINGUNO|CALLE|NINGUNO
3660|CAMINO|A LA  CHORERA|CAMINO|A LA CHORERA|CAMINO|A LA CHORERA|CAMINO|A LA CHORERA
3661|CAMINO|CAMINO A LA CHORERA BAHIA FALSA|CAMINO|A LA CHORERA|CAMINO|A LA CHORERA|CAMINO|A LA CHORERA
3662|AVENIDA|ESPINOZA|CALLE|CUARTA (MUTUALISMO)|AVENIDA|BENITO JUÁREZ (QUINTA)|AVENIDA|FLORESTA
3663|AVENIDA|RUIZ|CALLE|NOVENA|CALLE|DECIMA|CALLE|GASTELUM
3664|AVENIDA|TOPOLOBAMPO|CALLE|MAR JONICO|CALLE|MAR MEDITERRANEO SUR|AVENIDA|MANZANILLO
3665|CALLE|LAGO DE TORONTO|CALLE|LAGO DE PÁTZCUARO|CALLE|LAGO DE MONTEBELLO|CALLE|LAGO CUITZEO
3666|AVENIDA|OLMOS|CALLE|CHETUMAL|CALLE|NINGUNO|CALLE|NINGUNO
3667|CALLE|TOPOLOBAMPO|AVENIDA|MAR JONICO|CALLE|MAR MEDITERRANEO SUR|AVENIDA|MANZANILLO
3668|AVENIDA|FLORESTA|CALLE|SÉPTIMA|CALLE|SEXTA|AVENIDA|ESPINOZA
3669|CAMINO|CAMINO ALA CHORERA|CAMINO|ALA CHORERA|CAMINO|ALA CHORERA|CAMINO|A LA CHORERA
3670|CALLE|SEIS|CALLE|SIETE|CARRETERA|TIJUANA-ENSENADA|Sin Especificar|MUELLE PUERTO SAUZAL
3671|CALLE|NINGUNO|CALLE|NINGUNO|CALLE|NINGUNO|CALLE|NINGUNO
3672|TERRACERÍA|LOTE AGRÍCOLA|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar
3673|CALLE|NINGUNO|CALLE|NINGUNO|CALLE|NINGUNO|CALLE|NINGUNO
3674|CALLE|10|AVENIDA|ÁLVARO OBREGÓN|AVENIDA|MOCTEZUMA|CALLE|ONCE
3675|CALLE|TENIENTE AZUETA|ANDADOR|NINGUNO|VEREDA|NINGUNO|Sin Especificar|Sin Especificar
3676|CARRETERA|CARRETERA TRANSPENINSULAR|CALLE|BENITO JUÁREZ|Sin Especificar|NINGUNO|CALLE|NINGUNO
3677|CALLE|SÉPTIMA|CALLE|CUARTA|CALLE|QUINTA O JUÁREZ|CALLE|GRANADA
3678|AVENIDA|JOSE MARIA MORELOS|AVENIDA|20 DE NOVIEMBRE Y/O AVENIDA E|AVENIDA|JOSÉ MARÍA MORELOS Y/O AVENIDA D|CALLE|SEGUNDA
3679|CALLE|ALEJANDRA|CALLE|ALFREDO CORRAR|CALLE|ALICIA|CALLE|GUADALUPE
3680|CALLE|NIÑOS HÉROES|AVENIDA|GUSTAVO VALLEJO|AVENIDA|RAUL SÁNCHEZ DÍAZ|CALLE|ANELINA
3681|CALLE|LEON VICARIO|CALLE|GASTELUM|CALLE|NINGUNO|CALLE|JOSE LOPEZ
3682|CALLE|Tj-end|CALZADA|Vista Al Mar|CALZADA|Emiliano Zapata|CALLE|Esperanza
3683|PRIVADA|NINGUNO|CALLE|BONAR|PRIVADA|NINGUNO|CARRETERA|ENSENADA-TECATE KILÓMETRO 103
3684|BOULEVARD|ADOLFO RAMÍREZ MÉNDEZ|AVENIDA|VICENTE GUERRERO|AVENIDA|ABASOLO|AVENIDA|DIAMANTE
3685|CALLE|PLÁCIDO MATA|CALLE|JOSÉ HIGUERA|CALLE|CIRIOS|CALLE|PEDRO MARTINEZ
3686|CALLE|20 DE NOVIEMBRE|CALLE|NOVENA|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar
3687|AVENIDA|PÍPILA|CALLE|BAJA CALIFORNIA|CALLE|DELANTE|CALLE|PEDRO MORENO
3688|CALLE|NINGUNO|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar
3689|PRIVADA|NINGUNO|AVENIDA|REFORMA|CALLE|BRONCE|CALLEJÓN|REFORMA
3690|PRIVADA|SÉPTIMA|CALLE|SÉPTIMA|CALLE|SEXTA|Sin Especificar|NINGUNO
3691|CALLE|LAGO DE TORONTO|CALLE|LAGUNA DE MONTEBELLO|CALLE|LAGO DE PÁTZCUARO|Sin Especificar|Sin Especificar
3692|CALLE|IGNACIO ALTAMIRANO|CALLE|CORAL|CALLE|MANUEL M. PONCE|Sin Especificar|Sin Especificar
3693|CALLE|DE LAS SIRENAS|CALLE|BUCANEROS|BOULEVARD|LAS DUNAS|Sin Especificar|Sin Especificar
3694|AVENIDA|FRANCISCO GONZÁLEZ BOCANEGRA|CALLE|TERCERA|CALLE|SEGUNDA|CALLE|NIÑOS HEROES
3695|AVENIDA|BLANCARTE|CALLE|TERCERA|CALLE|CUARTA (MUTUALISMO)|AVENIDA|CASTILLO
3696|AVENIDA|DE LOS FRESNOS|CALLE|DE LAS ROSAS|CALLE|DE LAS MARGARITAS|CALLE|DE LOS EUCALIPTOS
3697|CALLE|REFORMA|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar
3698|CALLE|16 DE SEPTIEMBRE|CALLE|PETUNIA|CALLE|MIGUEL HIDALGO Y COSTILLA|CALLE|18 DE SEPTIEMBRE
3699|AVENIDA|C|CALLE|NINGUNO|CALLE|LIBRAMIENTO|CALLE|B
3700|AVENIDA|Josefa Ortiz de Domínguez|BOULEVARD|Emilio Carranza|CALZADA|De las Águilas|Sin Especificar|Sin Especificar
3701|AVENIDA|GUADALUPE|CALLE|CUARTA (MUTUALISMO)|CALLE|QUINTA (JUAREZ)|CALLE|HIDALGO
3702|CALLE|TEPATITLÁN|CALLE|GUADALAJARA|CALLE|DELANTE|CALLE|ZAPOPAN
3703|AVENIDA|MIGUEL HIDALGO Y COSTILLA|CALLE|NOVENA|CALLE|DECIMA|CALLE|ITURBIDE
3704|CALLE|RAFAEL MORENO|CALLE|ESTEBAN VACA CALDERÓN|CALLE|ANTONIO VILLAREAL|CALLE|LIBRADO RIVERA
3705|CALLE|Zapopan|CALLE|Guadalajara|CALLE|Delante|Sin Especificar|Sin Especificar
