ID|Nombre de la Unidad Económica|Razón social|Código de la clase de actividad SCIAN|Descripcion estrato personal ocupado|Tipo de establecimiento|Correo electrónico|Sitio en Internet|Fecha de incorporación al DENUE
963|FRUTAS ORGÁNICAS DE MÉXICO, S.A. DE C.V.|FRUTAS ORGÁNICAS DE MÉXICO, S.A. DE C.V.|115113|31 a 50 personas|Fijo|Sin Correo Electronico|No Tiene|jul-10
75766|SALA DE EXIBIHICION DE PLANTAS||115119|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|jul-10
79906|AERO FUMIGACIONES MULLER||115111|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
86922|AGROPECUARIA PRIMEN|AGROPECUARIA PRIMEN, S. DE R.L. DE C.V.|115119|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
98230|GRUPO RS CONSULATED PACKAGE|GRUPO RS|115113|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
98259|RANCHO HERMANOS PEREZ||115113|31 a 50 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
98495|RANCHO NUEVO PRODUCE, S.A. DE C.V.||115113|31 a 50 personas|Fijo|PRODUCE45@HOTMAIL.COM|No Tiene|dic-14
98835|EMPAQUE SIN NOMBRE||115113|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
100528|ELÍAS CANDOLFI VILLEGAS||115119|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
123184|HOJAS PARA TAMALES, S. DE R.L. DE C.V.|HOJAS PARA TAMALES, S. DE R.L. DE C.V.|115119|51 a 100 personas|Fijo|EDPREG@YAHOO.COM|No Tiene|jul-10
128060|EMPACADORA DE ZANAHORIAS||115113|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
137275|AK VERIFICACIÓN|AK VERIFICACIONES, S.C.|115210|6 a 10 personas|Fijo|Sin Correo Electronico|No Tiene|jul-10
140389|OFICINA DE RANCHO MUNGUIA||115119|101 a 250 personas|Fijo|Sin Correo Electronico|No Tiene|jul-10
149660|LITORALES VIVOS, S.A. DE C.V.|LITORALES VIVOS, S.A. DE C.V.|112511|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|jul-10
158194|VIDRIOS Y ALUMINIOS MEDINA||115210|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|jul-10
159088|CRIBADORA SOLIS||115119|11 a 30 personas|Fijo|YAYASOLIS1@HOTMAIL.COM|No Tiene|jul-10
159093|CRIBADORA ESCALANTE||115113|6 a 10 personas|Fijo|Sin Correo Electronico|No Tiene|jul-10
169755|OFICINA DE LOS PINOS|PRODUCTORA AGRÍCOLA INDUSTRIAL DEL NOROESTE, S.A. DE C.V.|115119|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
172861|PRODUCTOS PESQUEROS BAJA SUR|PRODUCTOS PESQUEROS BAJA SUR, S.A. DE C.V.|114113|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|jul-13
178415|GRICELDA´S SMOKENHOUSE||115113|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
192442|BODEGA DE GRANOS Y SEMILLAS SIN NOMBRE||115119|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|jul-10
200107|GANADERA LOCAL DE LA REGIÓN DE CALAKMUL|ASOCIACIÓN GANADERA LOCAL GENERAL DE LA REGIÓN DE CALAKMUL|115210|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|jul-10
224791|BODEGA SIN NOMBRE||115113|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|jul-10
230521|PLANTA DESPEPITADORA EN LEQUEITIO|DESPEPITADORA LEQUEITIO, S.A. DE C.V.|115112|11 a 30 personas|Fijo|Sin Correo Electronico|No Tiene|jul-10
231216|CENTRO REPRODUCTOR DE ORGANISMOS BENÉFICOS|COMITÉ ESTATAL DE SANIDAD VEGETAL DE COAHUILA, A.C.|115119|0 a 5 personas|Fijo|CROB_SALTILLO@LIVE.COM.MX|No Tiene|jul-10
235330|AGROPECUARIA EL TALENTO|AGROPECUARIA EL TALENTO, S.A. DE C.V.|115119|11 a 30 personas|Fijo|Sin Correo Electronico|No Tiene|mar-11
235333|LAS CORREAS|LAS CORREA, S.P.R. DE R.L.|115119|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|jul-10
235345|AGENCIA PROMOTORA DEL DESARROLLO TERRITORIAL SUSTENTABLE|AGENCIA PROMOTORA DEL DESARROLLO TERRITORIAL SUSTENTABLE, S.C.|115119|0 a 5 personas|Fijo|RESEND_@HOTMAIL.COM|No Tiene|jul-10
240271|PLANTA DESPEPITADORA NUEVA ALIANZA|PRODUCTORES LAGUNEROS, S.P.R. DE R.L. DE C.V.|115112|11 a 30 personas|Fijo|Sin Correo Electronico|No Tiene|jul-10
243275|TALLER DE HERRERÍA SIN NOMBRE||115210|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
245357|PROVEEDORA AGROPECUARIA CRIA Y GANADO EL CABALLO|PRODUCTORA AGROPECUARIA CRIA Y ENGORDA EL CABALLO, S.P.R. DE R.L. DE C.V.|115210|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
270902|ASOSIACIÓN DE AVICULTORES DE SALTILLO|ASOSIACIÓN DE AVICULTORES DE SALTILLO DE, A.C.|115210|0 a 5 personas|Fijo|AVIXC@PRODIGY.NET.MX|No Tiene|dic-14
271798|HORTIMEL|HORTALIZAS Y MELONES DE PAILA|115119|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
278624|NUTRI NUEZ||115119|11 a 30 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
279368|ALTA GENETICS DE MÉXICO COMERCIALIZACIÓN DE SEMEN BOVINO|ALTA GENETCSA DE MÉXICO, S. DE R.L. DE C.V.|115210|6 a 10 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
279889|EDUARDO ANTONIO TRICCIO SIERRA||115119|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
280010|ILGIARDINO||115310|6 a 10 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
280984|SPR GOLDEN CEBALLOS, S.A. DE C.V.|SPR GOLDEN CEBALLOS, S.A. DE C.V.|115119|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
285321|SEXADORES TECNICOS AVICOLAS|SEXADORES TECNICOS AVICOLAS|115119|11 a 30 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
290909|GENETICA MEXICANA, S.A. DE C.V.|GENETICA MEXICANA, S.A. DE C.V.|115210|31 a 50 personas|Fijo|Sin Correo Electronico|No Tiene|jul-10
304663|OFICINA DEL RANCHO ALFALFAR|ALFALFAR, S. DE R.L.|115119|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|jul-10
305310|PRODUCCIÓN DE PROMANUEZ|PROMANUEZ, S.A. DE C.V.|115113|31 a 50 personas|Fijo|Sin Correo Electronico|No Tiene|jul-10
305717|CRI REPRODUCION ANIMAL MEXICO, S.A. DE C.V.|CRI REPRODUCION ANIMAL MEXICO, S.A. DE C.V.|115210|0 a 5 personas|Fijo|CONY@REPRODUCIONANIMAL.COM.MX|WWWREPRODUCIONANIMAL.COM.MX|jul-10
305771|BENEFICIADORA DE NUEZ HERNANDEZ|BENEFICIADORA DE NUEZ HERNANDEZ|115113|31 a 50 personas|Fijo|Sin Correo Electronico|No Tiene|jul-10
315169|OFICINAS DEL RANCHO LA ESTRELLA||115119|11 a 30 personas|Fijo|Sin Correo Electronico|No Tiene|jul-10
325375|DESHUESADERO DE COCO SIN NOMBRE||115113|6 a 10 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
325844|DESHUESADERO DE COCO||115113|11 a 30 personas|Fijo|Sin Correo Electronico|No Tiene|jul-10
325895|DESHUESADERO COCOS CAMPOS||115113|11 a 30 personas|Fijo|Sin Correo Electronico|No Tiene|jul-10
326474|DESHUESADERO DE COCO LA ESPERANZA, S.P.R. DE RL||115113|11 a 30 personas|Fijo|Sin Correo Electronico|No Tiene|jul-10
327177|BODEGA DE EMPAQUE DE FRUTAS GUDIÑO||115113|6 a 10 personas|Fijo|Sin Correo Electronico|No Tiene|jul-10
332480|CAMPO & JARDÍN|CAMPO & JARDÍN|115119|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|jul-10
336917|GRANJA EL NARANJAL||115113|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
337188|CORTE Y VENTA DE TAMARINDO SIN NOMBRE||115113|11 a 30 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
340497|CAMPO AGRÍCOLA BERRIES PARADISE|BERRIES PARADISE, S.P.R. DE R.L.|115113|11 a 30 personas|Fijo|Sin Correo Electronico|WWW.BERRIESPARADISE.COM|dic-14
341710|DECA AGROSERVICIOS DE MÉXICO, S.C.|AGROSERVICIOS DE MÉXICO DECA, S.C.|115210|0 a 5 personas|Fijo|COLIMA.DECA@HOTMAIL.COM|No Tiene|dic-14
342350|PELADERO DE COCO DE PALMA REAL||115113|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
342525|REFRES COCO||115113|11 a 30 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
343666|PELADERO DE COCO||115113|11 a 30 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
344732|GRANJA ACUÍCOLA FLOR DE MAR|SOCIEDAD COOPERATIVA DE PRODUCCIÓN ACUÍCOLA FLOR DE MAR, S.C. DE R.L.|112512|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
345052|OFICINA FEPSA|FUMIGACIÓN ESPECIALIZADA DEL PUERTO, S.A. DE C.V.|115111|6 a 10 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
376220|CAFETERÍA MR COFEE|MR COFFEE, S.A. DE C.V.|115113|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|jul-10
390590|SUMINISTROS DE MAÍZ DEL MAYAB, S.A. DE C.V.|SUMINISTROS DE MAÍZ DEL MAYAB, S.A. DE C.V.|115113|0 a 5 personas|Fijo|DULCE.GARCIA@SUMASA.COM.MX|No Tiene|jul-10
391714|VENTA DE PESCADO SIN NOMBRE||112512|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
401469|TOSTADORA Y MOLIENDA DE CAFÉ||115113|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
410382|"JARDÍN CAMPESTRE PARA EVENTOS SOCIALES ""MANNY"""||115112|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
412371|ACUÍCOLA CAMPO VIEJO|ACUÍCOLA CAMPO VIEJO S.R.P., DE R.L.|112512|6 a 10 personas|Fijo|INFO@ACUICOLA.CAMPOVIEJO.COM|WWW.ACUICOLA.CAMPOVIEJO.COM|dic-14
414307|COMITÉ DE FOMENTO Y PROTECCIÓN PECUARIA DEL ESTADO DE CHIAPAS||115210|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
418845|GRUPO CONSTRUCTOR IMOX, S.A. DE C.V.|GRUPO CONSTRUCTOR IMOX, S.A. DE C.V.|115119|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
425535|LAVADO DE JAULAS AVICOLAS SIN NOMBRE||115210|6 a 10 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
