id_direccion|Número exterior o kilómetro|Letra exterior|Tipo de asentamiento humano|Nombre de asentamiento humano|Código Postal|Clave entidad|Clave municipio|Clave localidad|Área geoestadística básica |Manzana
1|0|KILÓMETRO 10+500|EJIDO|BANCO CUERVITOS|0|2|2|153|3418|800
2|0|15.5|EJIDO|CUERVITOS|0|2|2|7240|3418|800
3|0|KILÓMETRO 143|EJIDO|EJIDO INDUSTRIAL AÑO DE JUÁREZ DE 1972|0|2|2|505|3761|800
4|0|KILÓMETRO 20||EJIDO HIPÓLITO RENTERÍA|0|2|2|510|3441|800
5|58||PUEBLO|EL ROSARIO DE ARRIBA|0|2|1|598|7080|10
6|58||PUEBLO|EL ROSARIO DE ARRIBA|0|2|1|598|7080|10
7|0|KILÓMETRO 24|PROLONGACIÓN|EL COYOTE|0|3|3|2784|2411|800
8|0|SN|PUEBLO|SAN EVARSITO|0|3|3|778|2337|800
9||KM 53|PROLONGACIÓN|RANCHO EL GUAYO|0|4|3|3786|1422|800
10|24||RANCHERÍA|RIO VIEJO PRIMERA SECCION|0|4|3|1|2505|16
11|1019||COLONIA|COLONIA MANUEL LÓPEZ HUITRON|0|5|28|1|031A|50
12|542||COLONIA|MAESTROS|0|5|30|1|55|17
13|0|SN|||0|5|27|95|1255|800
14|0|SN|COLONIA|FRACCIONAMIENTO CALIFORNIA|0|5|4|779|233|800
15|0|SN|COLONIA|LA ESMERALDA|0|5|34|171|1207|800
16|0|KILÓMETRO 87+500|COLONIA|OBISPADO|0|5|13|7201|20|800
17|30|SN|COLONIA|POLANCO CHAPULTEPEC|0|5|7|199|1549|800
18|39||COLONIA|COLONIA POLANCO CHAPULTEPEC|0|5|7|1|894|6
19|39||COLONIA|POLANCO CHAPULTEPEC|0|5|33|436|1445|800
20|2700||COLONIA|LOS ANGELES|0|5|23|84|2907|800
21|0|0|COTO|SALINAS DEL REY SUR|0|5|34|20|1207|1
22|0|SN|COTO|SALINAS DEL REY SUR|0|5|34|132|1300|800
23|0|SN|SECTOR|NINGUNO|0|5|27|10|986|800
24|0|SN|RANCHERÍA|HOMERO MARTÍNEZ VALDEZ|0|5|32|151|187|0
25|0|SN|BARRIO|TIRO TRES|0|5|20|1|220A|20
26|0|SN|SECTOR|NINGUNO|0|5|17|7202|320|800
27|0|SN|RANCHO|BENJAMÍN CAMPOS|0|6|8|162|10|800
28|0|KILÓMETRO 3|RANCHO|PISCILA|0|6|2|124|182|800
29|0|KILÓMETRO 4|RANCHO|COPALITOS|0|6|3|349|33|800
30|0|KILÓMETRO 4|RANCHERÍA|JOSÉ MONTES|0|6|10|227|409|800
31|6||RANCHERÍA|LOCALIDAD DE VILLA DE ÁLVAREZ|0|6|10|291|409|800
32|0|SN|RANCHO|LAS GUASIMAS|0|6|2|77|182|800
33|0|KM 77|ZONA FEDERAL|LAGUNA DE CUYUTLÁN|0|6|7|707|030A|800
34|146||COLONIA|CENTRO|0|6|7|707|030A|800
35|202||COLONIA|TRINIDAD|0|6|7|707|030A|800
36|0|0|PUEBLO|LOTE MINERO RUFUS|0|6|7|225|117|800
37|0|SN|COTO|CHANCALA ZAPOTE|0|7|65|198|191|23
38|1096|SN||RIBERA CAHUARE|0|7|27|1|222|2
39|0|SN|COLONIA|CHANCALA ZAPOTE|0|7|65|198|191|23
40|0|KILÓMETRO 6|RANCHERÍA|CANTÓN CAHOA|0|7|102|54|21|800
41||KILÓMETRO 288|SECTOR|NINGUNO|0|8|51|44|222|800
42|307||COLONIA|CENTRO|0|8|51|284|256|800
43|3412||COLONIA|CENTRO|0|8|51|284|256|800
44|64||COLONIA|COLONIA CENTRO|0|8|32|1|373|37
45||SN|||0|8|65|14|444|800
46|17|17 KM AL LADO DERECHO|PARAJE|CIENEGUITA LLUVIA DE ORO|0|8|65|14|444|800
47|305||PARAJE|SAN FELIPE 1|0|8|56|57|233|800
48||SN|COLONIA|NINGUNO|0|8|40|22|1316|800
49|307||OTRO (ESPECIFICAR)|NINGUNO|0|8|51|44|222|800
50|0|SN|COTO|LAS ÁNIMAS|0|8|32|178|937|800
51|204||COLONIA|CENTRO|0|8|18|1|1160|25
52|0|SN|COLONIA|CORRALES|0|8|36|597|2044|800
53|0|SN|COLONIA|LOCALIDAD LAGUNA JACO|0|8|11|85|2416|800
54|0|SN|COLONIA|NAICA|0|8|62|22|423|33
55|0|SN|EJIDO|EL REFUGIO ( EL CONEJO )|0|10|5|304|3255|800
