id_direccion|Tipo centro comercial|Corredor industrial, centro comercial o mercado público|Número de local
15||METALURGICA|3200
187||SALINERA|SN
188||PRODUCTOR DE SAL|SN
203|||SN
209|EDIFICIO COMERCIAL Y DE SERVICIOS|LUS SAV|305
210|PASAJE Y ANDADOR COMERCIAL|SURINSA|PISO
220||HORIZON|403
242|CENTRO O PLAZA COMERCIAL|PLAZA MOLIERE|PISO 2
243|CENTRO O PLAZA COMERCIAL|PLAZA MOLIERE|
247|EDIFICIO COMERCIAL Y DE SERVICIOS|LUIS SAVIÑON|305
248||HORIZONTGE|403A
264|PARQUE INDUSTRIAL|CIUDAD INDUSTRIAL|204
265|CIUDAD INDUSTRIAL|SIN NOMBRE|SN
299||OTROS SERVICIOS RELACIONADOS CON LA MINERÃ¿A|
352|ZONA INDUSTRIAL|SIN NOMBRE|
357|PARQUE INDUSTRIAL|PUERTO INDUSTRIAL PESQUERO|SN
369|OTROS CONJUNTOS COMERCIALES|CAMPECHE PLAYA ESMERALDA RESORT|SN
385|EDIFICIO COMERCIAL Y DE SERVICIOS|ONCE|200
406|HOTEL|FIESTA MEXICANA|
423|CORREDOR INDUSTRIAL|BARRIO CUATRO|SN
441|||46
443|PLAZUELA COMERCIAL|PLAZA ARIZPE|47
444|PLAZUELAS COMERCIALES|PLAZA ARIZPE|47
478|EDIFICIO COMERCIAL Y DE SERVICIOS|SIN NOMBRE|2505
484||CAMPESTRE LA ROSITA|989
579||MINA LA SALADA|SN
614|||SN
658|EDIFICIOS COMERCIALES Y DE SERVICIOS|VERTICE|206
669|PARQUE INDUSTRIAL|NOMBRE DE DIOS|INTERIOR 2
767|CENTROS Y PLAZAS COMERCIALES|PLAZA GUADIANA|1
784|||105
844|PARQUE INDUSTRIAL|CADEREYTA|SN
855|ZONA INDUSTRIAL|VELARDEÑA|SN
915|CENTRAL DE ABASTO|SIN NOMBRE|
1199|TIANGUIS, BAZAR O PULGA|SIN NOMBRE|
1457|PARQUE INDUSTRIAL|SIN NOMBRE|SN
1459|CIUDAD INDUSTRIAL|SIN NOMBRE|SN
1461|CIUDAD INDUSTRIAL|SIN NOMBRE|SN
1473|||SN
1476||BONDOJITO|SN
1477|||SN
1690|PASAJE Y ANDADOR COMERCIAL|SURINSA A|PISO 9
1802|OTROS CONJUNTOS COMERCIALES|CONCESION MINERA|S N
1962|ZONA INDUSTRIAL|PRIVADO|
1978|CIUDAD INDUSTRIAL|SIN NOMBRE|NA
1985|||200
1994|ZONA INDUSTRIAL|FRACCIONAMIENTO EL OBISPO|117
1998|ZONA INDUSTRIAL|SIN NOMBRE|
2299||0|
2631|OTROS CONJUNTOS COMERCIALES|COMPLEJO EMPRESARIAL 5 DE FEBRERO|795
2634||PLAZA JACAL|LOCAL N
2636|ZONA INDUSTRIAL|BANCOS DE ARENA|
2700|CORREDOR INDUSTRIAL|AMAZCALA|SN
2711|PARQUE INDUSTRIAL|CADEREYTA|
2724|||SN
2755||NUEVO PARQUE INDUSTRIAL|26
2840|ZONA INDUSTRIAL|ESTACION VENTURA|SN
2848|ZONA INDUSTRIAL|SAN LUIS|SN
2919|MERCADOS P/BLICOS|HIDALGO|12A
3084|PARQUE INDUSTRIAL|PLAZA FUTURA|SN
3152||PLAZA RAQUET CLUB|329
3153|PARQUE INDUSTRIAL|PARQUE|S/N
3156|PARQUE INDUSTRIAL|PARQUE|SN
3157|PARQUE INDUSTRIAL|PARQUE|S/N
3205||RECINTO PORTUARIO DE GUAYMAS INTERIOR|
3231|CIUDAD INDUSTRIAL|SIN NOMBRE|BODEGA 2
3234|OTROS CONJUNTOS COMERCIALES|TORRE EMPRESARIAL|SN
3237|PARQUE INDUSTRIAL|PARQUE DEIT|SN
3251|CENTROS Y PLAZAS COMERCIALES|DOS BOCAS|1
3254|PARQUE INDUSTRIAL|TABASCO BUSINES CENTER|SN
3268|||SN
3269||LAS SALINAS|SN
3279|CENTRO O PLAZA COMERCIAL|LAS FUENTES|200
3280|EDIFICIO COMERCIAL Y DE SERVICIOS|SIN NOMBRE|6
3387|ZONA INDUSTRIAL|ZONA EJIDAL|
3419|ZONA INDUSTRIAL|SIN NOMBRE|SN
3480|PARQUE INDUSTRIAL|CALERA|SN
