Clave municipio|Municipio
1|ENSENADA
2|MEXICALI
3|LA PAZ
4|ARTEAGA
5|DURANGO
6|JOSÉ MARÍA MORELOS
7|CUATRO CIÉNEGAS
8|MINATITLÁN
9|CHALCHIHUITES
10|VILLA DE ÁLVAREZ
11|CAMARGO
12|TLALPAN
13|HIDALGO
14|BENITO JUÁREZ
15|GUANAJUATO
16|MIGUEL HIDALGO
17|MATAMOROS
18|CUSIHUIRIACHI
19|COMITÁN DE DOMÍNGUEZ
20|MÚZQUIZ
21|DELICIAS
22|CIHUATLÁN
23|OCAMPO
24|PARRAS
25|PIEDRAS NEGRAS
26|PROGRESO
27|RAMOS ARIZPE
28|SABINAS
29|CHICOLOAPAN
30|SALTILLO
31|TETLA DE LA SOLIDARIDAD
32|SAN JUAN DE SABINAS
33|SAN PEDRO
34|SIERRA MOJADA
35|TORREÓN
36|JIMÉNEZ
37|SILAO DE LA VICTORIA
38|TARANDACUAO
39|MINERAL DEL MONTE
40|MADERA
41|URIANGATO
42|VALLE DE SANTIAGO
43|SUSTICACÁN
44|MATAMOROS
45|JIQUILPAN
46|OMETEPEC
47|MORIS
48|PACHUCA DE SOTO
49|PILCAYA
50|PROGRESO DE OBREGÓN
51|OCAMPO
52|MOTUL
53|LAGOS DE MORENO
54|SAN SALVADOR
55|MAGDALENA
56|ROSARIO
57|TÉCPAN DE GALEANA
58|TELOLOAPAN
59|SAN FRANCISCO DEL ORO
60|SANTA BÁRBARA
61|TIXTLA DE GUERRERO
62|SAUCILLO
63|TEPEJI DEL RÍO DE OCAMPO
64|TRINCHERAS
65|PALENQUE
66|URUACHI
67|TEZONTEPEC DE ALDAMA
68|PICHUCALCO
69|YÉCORA
70|PURÉPERO
71|VILLA COMALTITLÁN
72|RAYÓN
73|SAN JUAN DE LOS LAGOS
74|REFORMA
75|EDUARDO NERI
76|SAN MARTÍN DE BOLAÑOS
77|TULANCINGO DE BRAVO
78|SAN CRISTÓBAL DE LAS CASAS
79|GÓMEZ FARÍAS
80|JUCHITÁN
81|TECÁMAC
82|TEJUPILCO
83|ZEMPOALA
84|ZIMAPÁN
85|TAMAZULA DE GORDIANO
86|SUCHIAPA
87|TECALITLÁN
88|TECOLOTLÁN
89|TEPALCATEPEC
90|TENANGO DEL VALLE
91|TEOCALTICHE
93|TEPETLAOXTOC
94|TEQUILA
95|TIXPÉHUAL
97|TONALÁ
98|SAN PEDRO TLAQUEPAQUE
99|TEXCOCO
100|TOMATLÁN
101|TUXTLA GUTIÉRREZ
102|TUXTLA CHICO
103|TUZANTÁN
104|TLALNEPANTLA DE BAZ
106|TOLUCA
107|VILLA CORZO
108|TUXPAN
110|ZINAPÉCUARO
111|VALLE DE GUADALUPE
112|VILLA DEL CARBÓN
113|VILLA GUERRERO
114|PUEBLA
116|VILLA HIDALGO
117|CAÑADAS DE OBREGÓN
118|YAHUALICA DE GONZÁLEZ GALLO
119|ZACOALCO DE TORRES
120|ZAPOPAN
121|ZAPOTILTIC
124|SAN GABRIEL CHILAC
126|SAN JERÓNIMO TECUANIPAN
127|LA PERLA
128|PEROTE
131|POZA RICA DE HIDALGO
132|SAN MARTÍN TEXMELUCAN
134|PUENTE NACIONAL
137|SAN NICOLÁS BUENOS AIRES
142|SAN SALVADOR EL SECO
145|SOCONUSCO
148|SANTA ISABEL CHOLULA
149|SANTIAGO MIAHUATLÁN
153|TECALI DE HERRERA
154|TECAMACHALCO
156|TEHUACÁN
160|TEOTLALCO
164|TEPEACA
168|TEPEXCO
169|TEPEXI DE RODRÍGUEZ
172|TETELA DE OCAMPO
175|TIANGUISMANALCO
176|TILAPA
177|TLACOLULAN
185|TLAPANALÁ
189|TUXPAN
193|VERACRUZ
194|VILLA ALDAMA
197|XICOTEPEC
198|XICOTLÁN
201|XOCHILTEPEC
204|AGUA DULCE
205|YEHUALTEPEC
206|NANCHITAL DE LÁZARO CÁRDENAS DEL RÍO
207|ZACAPOAXTLA
208|ZACATLÁN
209|ZAPOTITLÁN
278|SAN MIGUEL SOYALTEPEC
308|SAN PEDRO HUILOTEPEC
327|SAN PEDRO TAPANATEPEC
334|VILLA DE TUTUTEPEC DE MELCHOR OCAMPO
440|SANTA MARÍA TOTOLAPILLA
482|SANTIAGO PINOTEPA NACIONAL
551|TLACOLULA DE MATAMOROS
