id_direccion|Tipo de vialidad|Nombre de la vialidad|Tipo de entre vialidad 1|Nombre de entre vialidad 1|Tipo de entre vialidad 2|Nombre de entre vialidad 2|Tipo de entre vialidad 3|Nombre de entre vialidad 3
1|CARRETERA|MEXICALI ALGODONES|TERRACERÍA|NINGUNO|TERRACERÍA|NINGUNO|TERRACERÍA|NINGUNO
2|CARRETERA|MEXICALI - ALGODONES|TERRACERÍA|NINGUNO|TERRACERÍA|NINGUNO|TERRACERÍA|NINGUNO
3|CARRETERA|MEXICALI- SAN FELIPE|TERRACERÍA|NINGUNO|TERRACERÍA|NINGUNO|TERRACERÍA|NINGUNO
4|CARRETERA|CRRET. MEXICALI SAN FELIPE|CARRETERA|MEXICALI - SAN FELIPE|CALLE|LOS LAURELES|CALLE|LOS SAUCES
5|CARRETERA|TRANSPENISULAR|CALLE|NINGUNO|CALLE|NINGUNO|CALLE|NINGUNO
6|CARRETERA|TRANSPENISULAR|CARRETERA|TRANSPENISULAR|CALLE|NINGUNO|CALLE|NINGUNO
7|CAMINO|CAMINO A EL COYOTE|CAMINO|RANCHO OASIS SAN JORGE|CAMINO|RANCHO LOS NARANJOS|CALLE|NINGUNO
8||SAN EVARISTO||||||
9|OTRA (ESPECIFICAR)|CARRETERA ES LA AGUADA SABANCUY|CALLE||CALLE|||
10|CALLE|VILLAHERMOSA A  REFORMA|CALLE|NINGUNO|CALLE|NUNGUNA|CALLE|NINGUNO
11|CALLE|AVENIDA CUAUHTÉMOC|CALLE|JULIÁN GONZÁLEZ|CALLE|CUAHUTEMOC|AVENIDA|VICENTE GUERRERO
12|AVENIDA|UNIVERSIDAD|CALLE|PROLONGACIÓN MARAVILLAS|CALLE|PROLONGACIÓN MIRAVALLE||
13|CALLE|LOTE 2 PREDIO SAN LUCAS||||||
14|CALLE|CALLE LOS ÁNGELES||||||
15|PRIVADA|NINGUNO||||||
16|CARRETERA|CARRETERA FEDERAL 2 PIEDRAS NEGRAS LAREDO||NINGUNO||NINGUNO||NINGUNO
17|CALLE|MOLIERE||||||
18|AVENIDA|MOLIERE|CALLE|MOLIERE|AVENIDA|CAMPOS ELISEOS||
19|CALLE|NINGUNO||||||
20|CALLE|FANI ANNYTUA|CALLE|SILVESTRE REVUELTAS|CALLE|AQUILES SERDAN|CALLE|VELINO M. PREZA
21||DOMICILIO CONOCIDO|CALLE|NINGUNO|CALLE|NINGUNO|CALLE|NINGUNOM
22||NINGUNO|CALLE|NINGUNO|CALLE|NINGUNO|CALLE|NINGUNO
23||EJIDO ANHELO||NINGUNO||NINGUNO||NINGUNO
24|||CALLE|NINGUNO|CALLE|NINGUNO|CALLE|NINGUNO
25|CALLE|MIGUEL ACOSTA||NINGUNO|CALLE|MIGUEL ACOSTA||NINGUNO
26|PROLONGACIÓN|6 KM. SAN LORENZO|CALLE|MIGUEL HIDALGO|CALLE|MELCHOR OCAMPO|CALLE|PORFIRIO DIAZ SUR
27|CARRETERA|CARRETERA COLIMA-MINATITLAN KILÓMETRO 49||||||
28|CARRETERA|CARRETERA PIHUAMO- PISCILA ENTRONQUE||||||
29|TERRACERÍA|TERRA ARROYO SECO-COPALITOS KILÓMETRO 4||||||
30|TERRACERÍA|CARRETERA VILLA DE ALVARES-MINATITLAN||||||
31|CARRETERA|CARRETERA VILLA DE ALVAREZ- MINATITLÁN||||||
32|CARRETERA|CARRETERA LAS GUASIMAS-DER- KILÓMETRO 3||||||
33|CARRETERA|CARRETERA LIBRE COLIMA-MANZANILLO||||||
34|CALLE|GERONIMO ARZAC||||||
35|CALLE|PROGRESO||||||
36||LOTE MINERO RUFUS||MINERO RUFUS||MINEO RUFUS||MINERO RUFUS
37|CARRETERA|CARRETERA A ROBERTO BARRIOS|CARRETERA|NINGUNO||NINGUNO||NINGUNO
38|CALLE|CARRETERA PANAMERICANA A CHIAPA DE CORZO|CALLE|CARTONERA||||
39|VEREDA|CARRETERAA BENEMÉRITO||NINGUNO||NINGUNO|VEREDA|NINGUNO
40|CARRETERA|CARRETERA TAPACHULA-TALISMA||||||
41|CARRETERA|GRAN VISIÓN|OTRA (ESPECIFICAR)|NINGUNO|OTRA (ESPECIFICAR)|NINGUNO|OTRA (ESPECIFICAR)|NINGUNO
42|CALLE|NINGUNO LA CANDAMEÑA|CALLE|NINGUNO|CALLE|NINGUNO|CALLE|NINGUNO
43|CALLE|NINGUNO LA CANDAMEÑA OCAMPO|CALLE|NINGUNO|CALLE|NINGUNO|CALLE|NINGUNO
44|AVENIDA|GENERAL MACLOVIO HERRERA (MERCADERES)|CALLE|GUILLERMO PRIETO|CALLE|CENTENARIO|CALLE|RIVA PALACIOS
45|OTRA (ESPECIFICAR)|NINGUNO|OTRA (ESPECIFICAR)|NINGUNO|OTRA (ESPECIFICAR)|NINGUNO|OTRA (ESPECIFICAR)|NINGUNO
46|CAMINO|DE MESA DE ARTURO A CIENEGUITA|OTRA (ESPECIFICAR)|NINGUNO|OTRA (ESPECIFICAR)|NINGUNO|OTRA (ESPECIFICAR)|NINGUNO
47|CAMINO|AV. DIVISION DEL NORTE|OTRA (ESPECIFICAR)||OTRA (ESPECIFICAR)||OTRA (ESPECIFICAR)|
48|OTRA (ESPECIFICAR)|NINGUNO EJIDO DE HUIZOPA|OTRA (ESPECIFICAR)|NINGUNO|OTRA (ESPECIFICAR)|NINGUNO|OTRA (ESPECIFICAR)|NINGUNO
49|OTRA (ESPECIFICAR)|NINGUNO PINOS ALTOS|OTRA (ESPECIFICAR)|NINGUNO|OTRA (ESPECIFICAR)|NINGUNO|OTRA (ESPECIFICAR)|NINGUNO
50|CALLE|NINGUNO|CALLE|NINGUNO|CALLE|NINGUNO|CALLE|NINGUNO
51|OTRA (ESPECIFICAR)|NINGUNO|OTRA (ESPECIFICAR)|NINGUNO|OTRA (ESPECIFICAR)|NINGUNO|CALLE|7A
52|CALLE|NINGUNO|CALLE|NINGUNO|CALLE|NINGUNO|CALLE|NINGUNO
53|CALLE|NINGUNO|CALLE|NINGUNO|CALLE|NINGUNO|CALLE|NINGUNO
54|CALLE|NINGUNO|PRIVADA|NINGUNO|CALLE|NINGUNO|CALLE|NINGUNO
55|CAMINO|EL REFUGIO ( EL CONEJO )|BRECHA|BANCO DE MATERIAL 1 LAS PEÑAS|BRECHA|BANCO DE MATERIAL 2 CERRO LARGO|BRECHA|BANCO DE MATERIAL 3 ENCINAL
56|CAMINO|CAMINO AL BANCO DE PIEDRA DOS Y TRES EJIDO EL CONEJO|CAMINO|CAMINO AL BANCO DE PIEDRA DOS Y TRES EL ENCINAL EJIDO EL CONEJO|CAMINO|CAMINO AL BANCO DOS Y TRES DE LA PIEDRERA EJIDO EL CONEJO|CERRADA|NINGUNO
57|CAMINO|CAMINO A BANCO DE PIEDRA DOS CERRO LARGO Y BANCO TRES EL ENCINAL|CAMINO|CAMINO AL BANCO UNO LAS PEÑAS|CAMINO|CAMINO AL BANCO DOS CERRO LARGO Y TRES EL ENCINAL|CERRADA|SIN CAMINOS
58|PRIVADA|DOMICILIO CONOCIDO||||||
59|CAMINO|CAMINO AL BANCO DOS CERRO LARGO|CAMINO|CAMINO AL BANCO UNO LAS PEÑAS Y LOCALIDAD EL CONEJO|CAMINO|CAMINO AL BANCO DOS CERRO LARGO|CERRADA|NINGUNO
60|CAMINO|EL REFUGIO ( EL CONEJO )|CAMINO|BANCO DE MATERIAL 2 CERRO LARGO|CAMINO|BANCO DE MATERIAL 1 LAS PEÑAS|CAMINO|BANCO DE MATERIAL 3 EL ENCINAL
61|CAMINO|CAMINO AL BANCO DOS CERRO LARGO|CAMINO|CAMINO AL BANCO DOS CERRO LARGO|CAMINO|CAMINO AL BANCO TRES EL ENCINAL|CERRADA|NINGUNO
62|CALLE|PROFESOR EVERARDO GÁMIZ|CALLE|CONSUELO PÉREZ G.|CALLE|PROFESORA JUANA VILLALOBOS|CALLE|PROFESOR GUADALUPE
63|CARRETERA|CARRETERA DURANGO PARRAL|CARRETERA|PARRAL|VEREDA|NINGUNO|VEREDA|NINGUNO
64|PRIVADA|DOMICILIO CONOCIDO|CALLE|MIGUEL HIDALGO PONIENTE|CALLE|MELCHOR OCAMPO PONIENTE|CALLE|PORFIRIO DIAZ SUR
65|CARRETERA|CARRETERA ABASOLO EL TULE|CARRETERA|ABASOLO EL TULE|CAMINO|TULE|CARRETERA|ABASOLO
66|CALLE|RANCHO EL SALTO, CERRO EL MELON.|CAMINO|AL CERRO DEL MELOM|CALLE|NINGUNO||CERRO EL MELON
67|PROLONGACIÓN|SAN PABLO|CALLE|ATOTONILCO|CALLE|LOS NARANJOS|CALLE|PRINCIPAL
68|TERRACERÍA|CAMINO A BUENAVISTA||NINGUNO||NINGUNO||NINGUNO
69|CALLE|DEL ZAUS||||||
70|CALZADA|MIGUEL HIDALGO||||||
71|CALLE|LIBRAMIENTO SUR|CALLE|LA PAZ|CALLE|DEL SOL|CAMINO|FERROCARRIL
72|TERRACERÍA|CAMINO SAN VICENTE||NINGUNO||NINGUNO||NINGUNO
73|CARRETERA|CARRETERA SAN LORENZO AJUCHITLAN|CALLEJÓN|NINGUNO|CALLEJÓN|NINGUNO|CARRETERA|NINGUNO
74|CARRETERA|CARRETERA PROGRESO IXMIQUILPAN|CALLE|NINGUNO|CALLE|NINGUNO|CALLE|NINGUNO
75||NINGUNO||NINGUNO||NINGUNO||NINGUNO
76|CARRETERA|SAN PEDRO TLAQUILPAN-LA TRINIDAD||||||
77|CALLE|NINGUNO, JOSÉ ANDRÉS SALINAS MONSALVO||NINGUNO||NINGUNO, JOSÉ ANDRÉS SALINAS MONSALVO||NINGUNO, JOSÉ ANDRÉS SALINAS MONALVO
78|CALLE|NINGUNO||||||
79|BRECHA|POTRERO PIEDRA GRANDE DEL MEZCAL||||||
80|CALLE|LA AUDIENCIA|BOULEVARD|MIGUEL DE LA MADRID|CALLE|NINGUNO||
81|CALLE|NINGUNO|CALLE|NINGUNO|CALLE|NINGUNO|CALLE|NINGUNO
82|CALLE|INDEPENDENCIA|CALLE|NINGUNO|CALLE|NINGUNO|CALLE|NINGUNO
83|CALLE|HIDALGO||||||
84|CALLE|ZARAGOZA|CALLE|NINGUNO|CALLE|DEPORTISTAS|CALLE|OCAMPO
85|CALLE|HIDALGO||||||
86|CALLE|HIDALGO||||||
87|CALLE|HIDALGO|CALLE|JAVIER MINA|CALLE|NINGUNO|CALLE|NINGUNO
88|CALLE|HIDALGO|CALLE|NINGUNO|CALLE|VALLARTA|CALLE|NINGUNO
89|CALLE|CUAUHTÉMOC|CALLE|CORREGIDORA|CALLE|GUADALUPÉ VICTORIA|CALLE|SANTOS DEGOLLADO
90|CALLE|JUAN PABLO II|CALLE|CUAUHTÉMOC|CALLE|NINGUNO|CALLE|NINGUNO
91|CALLE|VOLCÁN SANGANGÜEY|CALLE|VOLCÁN PARICUTÍN|PROLONGACIÓN|SAN MARTIN|CALLE|VOLCAN DE COLIMA
