ID|Nombre de la Unidad Económica|Razón social|Código de la clase de actividad SCIAN|Descripcion estrato personal ocupado|Correo electrónico|Sitio en Internet|Fecha de incorporación al DENUE|Tipo de establecimiento|id_direccion
62018|RECURSOS DEL DESIERTO||213119|0 a 5 personas|REDESA1@PRODIGY.NET.MX||jul-10|Fijo|1
280023|MINERA WILIAM|MINERA WILIAM, S.A. DE C.V.|212231|251 y más personas|LUIS.SERNA@MINERAWILIAM.MX||dic-14|Fijo|2
1065185|MARMOLES VELASCO, S.A. DE C.V.||212312|0 a 5 personas|SANCHEZPARES@MARMOLESVELASCO.COM||jul-10|Fijo|3
3114262|TRITURADORA|SINDICATO DE TRABAJADORES PARA LA CONTRUCCION Y SIMILARES DEL ESTADO DE OAXACA|212321|0 a 5 personas|||dic-14|Fijo|4
3151182|AGREGADOS Y TRITURADOS DE LA SIERRA SUR||212321|0 a 5 personas|||dic-14|Fijo|5
3911851|GRAVA Y DERIVADOS SIN NOMBRE||212321|31 a 50 personas|CRIBACASTILLO@HOTMAIL.COM||dic-14|Fijo|6
4051949|GIH DE CERRALVO, S. DE R.L. DE C.V.|GIH DE CERRALVO, S. DE R.L. DE C.V.|212321|0 a 5 personas|||dic-14|Fijo|7
4304846|GRAVAS CEMENTADAS, S.A. DE C.V.|GRAVAS CEMENTADAS, S.A. DE C.V.|212321|0 a 5 personas|||dic-14|Fijo|8
4312552|O.R.A. VERACRUZ, VER.|PEMEX EXPLORACIÓN Y PRODUCCIÓN|211110|11 a 30 personas|||dic-14|Fijo|9
4629914|MIGUEL ANGEL DE AVILA MONTOYA||212232|11 a 30 personas|||dic-14|Fijo|10
6186014|OBRAS MINERAS Y TIROS DEL CENTRO, S.A. DE C.V.|OBRAS MINERAS Y TIROS DEL CENTRO, S.A. DE C.V.|213119|0 a 5 personas|LIZBETH-CASTELLANA@HOTMAIL.COM||jul-10|Fijo|11
6186015|MINERA REAL DE ANGELES, S.A. DE C.V.|MINERA REAL DE ANGELES, S.A. DE C.V.|212222|251 y más personas|||jul-10|Fijo|12
6186016|METERIALES GERO|METERIALES GERO, S.A. DE C.V.|212321|11 a 30 personas|||dic-14|Fijo|13
